node_key,difference
0212c4f31c104b00ab0bd5f5f1f03921dbb57f6802bf2d5a09af433f293ceff92a,-0.000037
0212e2b37c0a915e5fddf09aaf687a88d2670994ea7115be22782981437ab9015b,-0.000037
0212e4b4ca65496e45410ecb6b4e63f5fd555157cff4805b55cded05595fc203a2,-0.000037
021303703f4ae22034e196f9b76c6903b22f83323449f536df923c9c21d118a3f6,-0.000037
0213145d7bb6289e81a68c2694cda12f0663410fa8cbfbed713c66921802b6c14f,-0.000037
021332d85a6581860578e31416d16f1685d0945b9b6677444972cd1a9af673455d,-0.000038
0213fe461cda96a7a108b0dbca506f133ea1ca14d5d8ecbb973b6a6e2d69de60d3,-0.105660
021426c924cfdbf76dab380e53e73fdd9eb01e1747efa9e2d766e3f60e0994473a,-0.000038
021438ea60193aba3d0baea5d3c7911f1855e1907cc7092db59af0024d5172bf1c,-0.000037
0214510f36c10b88284f8db8b06d955fd00a30f97f161c3d783a76bb42ebf5dbd6,-0.109431
02150b0695e8adb7518a20229fbf968099093fcc54624919101736f8b21b7b657b,-0.000037
0215138109726574069575f0a34680fc830af1f66e132eb9cbd2b02504e44f0f25,-0.122013
02155410a44964478809914aa2633542326360c6bb3aa2f421c0383a3372669420,-0.000037
02155f7e83b24fdb124474e5804884c934ba8a54d570e066136144f1c92f81ca96,-0.000037
0215a44a2832f95f91137d227213f19529fe007f57482e83e36a3567e54c623f30,-0.000037
0215bd8708152143b2e9d9d27e968538b022796c2e2b9b5d0834976c7aacf1a190,-0.000037
02160546ffe73b57d2e6dc0fac645380ecb51796f40926d62c26813366e48c6cb3,-0.102300
0216e452520712cd94b1f9a3c9486104685c6461de8d85544fdbd88ea312353f00,-0.000037
021728626cfa3886363c6ca4e476a7df1ebd62d96d3a4ff237876935996b933f37,-0.112829
02179e507c79247f633415703dda5e3e84b92656a2a3be78947ddc2f8574b17081,-0.082288
0217e0a8475a7e4c8ff2406fd83764819eaacda615bb6bc7476774e607fd32afbd,-0.110738
0217e1def0000057d75e629afbe7d8f09cb0e213dbda0678a36b2e1d1e226a51d1,-0.000038
02181d9b341f57b1ad952191dae5cf7108a4f630a1cec410edae7df53e7e6eca6c,-0.000038
02183af70e8c68886954498285c74bdce6d45fe767cecf0af4000d71995323b2ec,-0.087067
0218709a06b3db910dc5077a38668f0991323e1ef9ed1006b2366cee07256504fd,-0.000038
021872965c78093d017119955ca45e8a669d118e655e4f638ea6b08ec934e102c4,-0.111746
021877dbe33f218a30613393658df1b5f363446f1eb2ebfeb9aec041550e5e577f,-0.110850
02188129cd3e5ba7c5f78699c5d13d019161d5151587cc9ece0a6cade512967e2e,-0.000037
0218c55be6a43deaba428689ba69c803de16bfd1967abf8b487a92505fb629fa7b,-0.113725
0218c765a917268954b3814360c65d231e85039cf797dc4d2005397efefee20c6f,-0.000037
